,commune,spot,full_name,url,date,hour,water_quality,conditions,level,hauteur,note,long,lat
329,guidel,plage-du-loch,guidel plage-du-loch,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/plage-du-loch,2023-08-14,21,C,moyennes,2,0.9,6,48.0295,-4.63722
328,guidel,plage-du-loch,guidel plage-du-loch,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/plage-du-loch,2023-08-14,18,C,moyennes,2,1.0,6,48.0295,-4.63722
327,guidel,plage-du-loch,guidel plage-du-loch,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/plage-du-loch,2023-08-14,15,C,moyennes,2,1.0,6,48.0295,-4.63722
561,bangor,donnant,bangor donnant,https://www.surf-sentinel.com/surf-report/france/morbihan/bangor/donnant,2023-08-11,15,C,moyennes,2,1.2,6,47.3196443,-3.2298395
267,larmor-plage,anse-de-kerguelen,larmor-plage anse-de-kerguelen,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/anse-de-kerguelen,2023-08-11,15,C,moyennes,2,1.2,6,47.70566,-3.40123
180,gavres,gavres,gavres gavres,https://www.surf-sentinel.com/surf-report/france/morbihan/gavres/gavres,2023-08-11,6,C,moyennes,2,1.1,6,47.6966414,-3.3529371
408,guidel,pen-er-malo-fort-bloque,guidel pen-er-malo-fort-bloque,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/pen-er-malo-fort-bloque,2023-08-14,6,C,moyennes,2,1.3,6,47.75319,-3.49849
264,larmor-plage,anse-de-kerguelen,larmor-plage anse-de-kerguelen,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/anse-de-kerguelen,2023-08-11,6,C,moyennes,2,1.1,6,47.70566,-3.40123
409,guidel,pen-er-malo-fort-bloque,guidel pen-er-malo-fort-bloque,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/pen-er-malo-fort-bloque,2023-08-14,9,C,moyennes,2,1.2,6,47.75319,-3.49849
392,guidel,pen-er-malo-fort-bloque,guidel pen-er-malo-fort-bloque,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/pen-er-malo-fort-bloque,2023-08-11,12,C,moyennes,2,1.2,6,47.75319,-3.49849
411,guidel,pen-er-malo-fort-bloque,guidel pen-er-malo-fort-bloque,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/pen-er-malo-fort-bloque,2023-08-14,15,C,moyennes,2,1.0,6,47.75319,-3.49849
